('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.971162223815918, 0.361573169849537]
('192.168.137.1', 64572)#pos#blue#[0.9715375264485677, 0.3618755764431424]
('192.168.137.1', 64572)#pos#blue#[0.9714869817097982, 0.3617581120243779]
('192.168.137.1', 64572)#pos#blue#[0.9713402430216471, 0.3616999025698061]
('192.168.137.1', 64572)#pos#blue#[0.9716898600260416, 0.3622326886212384]
('192.168.137.1', 64572)#pos#blue#[0.9712142944335938, 0.3618378250687211]
('192.168.137.1', 64572)#pos#blue#[0.9710122426350911, 0.3622621324327257]
('192.168.137.1', 64572)#pos#blue#[0.9710692087809245, 0.36189894499602143]
('192.168.137.1', 64572)#pos#blue#[0.9711780548095703, 0.36206388120298033]
('192.168.137.1', 64572)#pos#blue#[0.9712536493937175, 0.36183330394603586]
('192.168.137.1', 64572)#pos#blue#[0.9711314519246419, 0.3619135538736979]
('192.168.137.1', 64572)#pos#blue#[0.9708179473876953, 0.362930100052445]
('192.168.137.1', 64572)#pos#blue#[0.9715613047281901, 0.3617600335015191]
('192.168.137.1', 64572)#pos#blue#[0.9707350413004557, 0.3623975118001302]
('192.168.137.1', 64572)#pos#blue#[0.9714340209960938, 0.361953283239294]
('192.168.137.1', 64572)#pos#blue#[0.971149190266927, 0.3621887772171586]
('192.168.137.1', 64572)#pos#blue#[0.9709982554117839, 0.3614942480016638]
('192.168.137.1', 64572)#pos#blue#[0.97081298828125, 0.3628169024432147]
('192.168.137.1', 64572)#pos#blue#[0.971701176961263, 0.361849523473669]
('192.168.137.1', 64572)#pos#blue#[0.9710441589355469, 0.3619108977141204]
('192.168.137.1', 64572)#pos#blue#[0.9708128611246745, 0.36208987765842016]
('192.168.137.1', 64572)#pos#blue#[0.9712816874186198, 0.3613979763454861]
('192.168.137.1', 64572)#pos#blue#[0.9711094538370768, 0.361493569833261]
('192.168.137.1', 64572)#pos#blue#[0.9713560740152994, 0.3617752640335648]
('192.168.137.1', 64572)#pos#blue#[0.9713922500610351, 0.36156633165147567]
('192.168.137.1', 64572)#pos#blue#[0.9711757024129232, 0.3619760583948206]
('192.168.137.1', 64572)#pos#blue#[0.971448008219401, 0.36204011705186634]
('192.168.137.1', 64572)#pos#blue#[0.9708164215087891, 0.3619034661187066]
('192.168.137.1', 64572)#pos#blue#[0.9715018590291341, 0.36152550026222513]
('192.168.137.1', 64572)#pos#blue#[0.9718846638997396, 0.3619482817473235]
('192.168.137.1', 64572)#pos#blue#[0.9713332494099934, 0.36169617264359083]
('192.168.137.1', 64572)#pos#blue#[0.9708297093709309, 0.3624447575321904]
('192.168.137.1', 64572)#pos#blue#[0.9703676223754882, 0.36232571072048614]
('192.168.137.1', 64572)#pos#blue#[0.9706632614135742, 0.3626622800473814]
('192.168.137.1', 64572)#pos#blue#[0.9708388010660808, 0.3621673583984375]
('192.168.137.1', 64572)#pos#blue#[0.9715111414591472, 0.3611745763708044]
('192.168.137.1', 64572)#pos#blue#[0.9711936314900717, 0.36160057915581595]
('192.168.137.1', 64572)#pos#blue#[0.971353276570638, 0.36189151340060766]
('192.168.137.1', 64572)#pos#blue#[0.9712436040242513, 0.3618056685836227]
