('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.2426413853963216, 0.20503710994014032]
('192.168.137.1', 64572)#pos#blue#[0.24287498792012532, 0.20544443483705874]
('192.168.137.1', 64572)#pos#blue#[0.24674180348714192, 0.21091986762152778]
('192.168.137.1', 64572)#pos#blue#[0.2436269760131836, 0.20956720422815395]
('192.168.137.1', 64572)#pos#blue#[0.24276038805643718, 0.2090984344482422]
('192.168.137.1', 64572)#pos#blue#[0.24538850784301758, 0.21136902703179253]
('192.168.137.1', 64572)#pos#blue#[0.2423628807067871, 0.20699584395797163]
('192.168.137.1', 64572)#pos#blue#[0.24458699226379393, 0.20985552469889324]
('192.168.137.1', 64572)#pos#blue#[0.24580020904541017, 0.20964679011592158]
('192.168.137.1', 64572)#pos#blue#[0.2444098949432373, 0.2097598746970848]
('192.168.137.1', 64572)#pos#blue#[0.24541266759236655, 0.21205485308611835]
('192.168.137.1', 64572)#pos#blue#[0.24422138532002766, 0.20953103524667246]
('192.168.137.1', 64572)#pos#blue#[0.24476539293924968, 0.2101144578721788]
('192.168.137.1', 64572)#pos#blue#[0.2435773531595866, 0.20785901104962384]
('192.168.137.1', 64572)#pos#blue#[0.24449845949808757, 0.21003244188096787]
('192.168.137.1', 64572)#pos#blue#[0.24182384808858234, 0.20964776498300058]
('192.168.137.1', 64572)#pos#blue#[0.24345353444417317, 0.205299151385272]
('192.168.137.1', 64572)#pos#blue#[0.24483237266540528, 0.20952217667191117]
('192.168.137.1', 64572)#pos#blue#[0.2463183085123698, 0.2102049227114077]
('192.168.137.1', 64572)#pos#blue#[0.24679853121439616, 0.20658820823386864]
('192.168.137.1', 64572)#pos#blue#[0.24205129941304523, 0.20985514322916668]
('192.168.137.1', 64572)#pos#blue#[0.2463262399037679, 0.2116130546287254]
('192.168.137.1', 64572)#pos#blue#[0.24738430976867676, 0.21122290999801072]
('192.168.137.1', 64572)#pos#blue#[0.24532734553019206, 0.2116821006492332]
('192.168.137.1', 64572)#pos#blue#[0.24593677520751953, 0.20970104358814382]
('192.168.137.1', 64572)#pos#blue#[0.24414828618367512, 0.21160129970974392]
('192.168.137.1', 64572)#pos#blue#[0.245963716506958, 0.21258036295572916]
('192.168.137.1', 64572)#pos#blue#[0.24141896565755208, 0.20942854704680267]
('192.168.137.1', 64572)#pos#blue#[0.23980817794799805, 0.20615625734682436]
('192.168.137.1', 64572)#pos#blue#[0.24261919657389322, 0.21045357033058448]
('192.168.137.1', 64572)#pos#blue#[0.24569358825683593, 0.2099141862657335]
('192.168.137.1', 64572)#pos#blue#[0.2460022449493408, 0.20696949428982206]
('192.168.137.1', 64572)#pos#blue#[0.23885396321614583, 0.20651711357964408]
('192.168.137.1', 64572)#pos#blue#[0.24453875223795574, 0.2102574242485894]
('192.168.137.1', 64572)#pos#blue#[0.23914833068847657, 0.20512398613823785]
('192.168.137.1', 64572)#pos#blue#[0.2459249973297119, 0.21158889487937646]
('192.168.137.1', 64572)#pos#blue#[0.24305295944213867, 0.20889194629810476]
('192.168.137.1', 64572)#pos#blue#[0.24375378290812175, 0.2124817035816334]
('192.168.137.1', 64572)#pos#blue#[0.243214750289917, 0.20614515233922887]
('192.168.137.1', 64572)#pos#blue#[0.24335803985595703, 0.2095169915093316]
('192.168.137.1', 64572)#pos#blue#[0.24495360056559246, 0.2096156084979022]
('192.168.137.1', 64572)#pos#blue#[0.2455478350321452, 0.20947477552625868]
('192.168.137.1', 64572)#pos#blue#[0.24553941090901693, 0.20999423839427805]
('192.168.137.1', 64572)#pos#blue#[0.24281250635782878, 0.20666667796947338]
('192.168.137.1', 64572)#pos#blue#[0.2428942839304606, 0.20853311044198494]
('192.168.137.1', 64572)#pos#blue#[0.2444826602935791, 0.21088180541992188]
('192.168.137.1', 64572)#pos#blue#[0.24494150479634602, 0.2114794413248698]
('192.168.137.1', 64572)#pos#blue#[0.24209515253702799, 0.2108306884765625]
('192.168.137.1', 64572)#pos#blue#[0.24277973175048828, 0.20993306195294414]
('192.168.137.1', 64572)#pos#blue#[0.24477020899454752, 0.21057171291775173]
('192.168.137.1', 64572)#pos#blue#[0.24553062121073405, 0.2101059807671441]
('192.168.137.1', 64572)#pos#blue#[0.24299901326497395, 0.21024030049641926]
('192.168.137.1', 64572)#pos#blue#[0.24358050028483072, 0.21206515276873553]
('192.168.137.1', 64572)#pos#blue#[0.23941548665364584, 0.20614187452528213]
('192.168.137.1', 64572)#pos#blue#[0.23821395238240559, 0.20506323355215567]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20972222222222223]
('192.168.137.1', 64572)#pos#blue#[0.24473075866699218, 0.2117086057309751]
('192.168.137.1', 64572)#pos#blue#[0.2442286173502604, 0.2104216116446036]
('192.168.137.1', 64572)#pos#blue#[0.24390633900960287, 0.20877232021755643]
('192.168.137.1', 64572)#pos#blue#[0.24593941370646158, 0.2110995822482639]
('192.168.137.1', 64572)#pos#blue#[0.24489898681640626, 0.2082630581325955]
('192.168.137.1', 64572)#pos#blue#[0.2439533551534017, 0.21039407518174913]
('192.168.137.1', 64572)#pos#blue#[0.2432952086130778, 0.20993727224844475]
('192.168.137.1', 64572)#pos#blue#[0.23916524251302082, 0.20499389083297165]
('192.168.137.1', 64572)#pos#blue#[0.24396769205729166, 0.20231694821958188]
('192.168.137.1', 64572)#pos#blue#[0.2389637311299642, 0.2061222924126519]
('192.168.137.1', 64572)#pos#blue#[0.2447155793507894, 0.2092436331289786]
('192.168.137.1', 64572)#pos#blue#[0.24353860219319662, 0.2097497304280599]
('192.168.137.1', 64572)#pos#blue#[0.24373056093851725, 0.2102002320466218]
('192.168.137.1', 64572)#pos#blue#[0.24507379531860352, 0.20997693097149883]
('192.168.137.1', 64572)#pos#blue#[0.24325645764668782, 0.2107857033058449]
('192.168.137.1', 64572)#pos#blue#[0.24406760533650715, 0.20948510346589266]
('192.168.137.1', 64572)#pos#blue#[0.24279247919718425, 0.20962607772262007]
('192.168.137.1', 64572)#pos#blue#[0.24534063339233397, 0.2109609533239294]
('192.168.137.1', 64572)#pos#blue#[0.24010416666666667, 0.20833333333333334]
('192.168.137.1', 64572)#pos#blue#[0.24050343831380208, 0.20596822102864584]
('192.168.137.1', 64572)#pos#blue#[0.24267635345458985, 0.21159756978352864]
('192.168.137.1', 64572)#pos#blue#[0.24369870821634929, 0.20992756596318]
('192.168.137.1', 64572)#pos#blue#[0.24616427421569825, 0.21066953870985244]
('192.168.137.1', 64572)#pos#blue#[0.24367483456929526, 0.21164395367657696]
('192.168.137.1', 64572)#pos#blue#[0.24405415852864584, 0.21170739067925348]
('192.168.137.1', 64572)#pos#blue#[0.24387804667154947, 0.20848552562572337]
('192.168.137.1', 64572)#pos#blue#[0.2463630199432373, 0.2103804835566768]
('192.168.137.1', 64572)#pos#blue#[0.24449745814005533, 0.21178563435872397]
('192.168.137.1', 64572)#pos#blue#[0.2434207280476888, 0.21038761845341436]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.21064814814814814]
('192.168.137.1', 64572)#pos#blue#[0.2439022699991862, 0.21002851415563512]
('192.168.137.1', 64572)#pos#blue#[0.24411195119222004, 0.21048482259114584]
('192.168.137.1', 64572)#pos#blue#[0.24472815195719402, 0.2106029651783131]
('192.168.137.1', 64572)#pos#blue#[0.23947510719299317, 0.20614869859483506]
('192.168.137.1', 64572)#pos#blue#[0.2459799289703369, 0.2115355173746745]
('192.168.137.1', 64572)#pos#blue#[0.2448239803314209, 0.2085125110767506]
('192.168.137.1', 64572)#pos#blue#[0.24462766647338868, 0.21078421981246384]
('192.168.137.1', 64572)#pos#blue#[0.24114583333333334, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.24593626658121745, 0.2108022760461878]
('192.168.137.1', 64572)#pos#blue#[0.24406854311625162, 0.21126706158673322]
('192.168.137.1', 64572)#pos#blue#[0.2451783816019694, 0.20715120103624132]
('192.168.137.1', 64572)#pos#blue#[0.24521134694417318, 0.21159823382342302]
('192.168.137.1', 64572)#pos#blue#[0.24527519543965656, 0.2108861004864728]
('192.168.137.1', 64572)#pos#blue#[0.2449441115061442, 0.20989159478081598]
('192.168.137.1', 64572)#pos#blue#[0.24508668581644694, 0.2084467569986979]
('192.168.137.1', 64572)#pos#blue#[0.24391924540201823, 0.21044026127567997]
('192.168.137.1', 64572)#pos#blue#[0.2405337969462077, 0.2053597203007451]
('192.168.137.1', 64572)#pos#blue#[0.24224452972412108, 0.20505687572337963]
('192.168.137.1', 64572)#pos#blue#[0.24237022399902344, 0.20987697177463108]
('192.168.137.1', 64572)#pos#blue#[0.24601759910583496, 0.21072649072717736]
('192.168.137.1', 64572)#pos#blue#[0.24428380330403646, 0.20970412360297308]
('192.168.137.1', 64572)#pos#blue#[0.24618401527404785, 0.21152716742621527]
('192.168.137.1', 64572)#pos#blue#[0.2419469992319743, 0.20521665502477576]
('192.168.137.1', 64572)#pos#blue#[0.24466708501180012, 0.20979087264449509]
('192.168.137.1', 64572)#pos#blue#[0.24304986000061035, 0.2077716968677662]
('192.168.137.1', 64572)#pos#blue#[0.2448117256164551, 0.21166311193395543]
('192.168.137.1', 64572)#pos#blue#[0.24381497701009114, 0.21170487580475983]
('192.168.137.1', 64572)#pos#blue#[0.24404026667277018, 0.2101244608561198]
('192.168.137.1', 64572)#pos#blue#[0.24550466537475585, 0.20988998413085938]
('192.168.137.1', 64572)#pos#blue#[0.24277853965759277, 0.2103570302327474]
('192.168.137.1', 64572)#pos#blue#[0.24271456400553384, 0.21041256939923322]
('192.168.137.1', 64572)#pos#blue#[0.24232382774353028, 0.20888670462149161]
('192.168.137.1', 64572)#pos#blue#[0.24414135615030924, 0.21162757873535157]
('192.168.137.1', 64572)#pos#blue#[0.24184713363647461, 0.20811790183738427]
('192.168.137.1', 64572)#pos#blue#[0.24112645785013834, 0.20486009385850695]
('192.168.137.1', 64572)#pos#blue#[0.24429640769958497, 0.21132972152144822]
('192.168.137.1', 64572)#pos#blue#[0.2444399356842041, 0.21076453880027488]
('192.168.137.1', 64572)#pos#blue#[0.2442989985148112, 0.21281281930428964]
('192.168.137.1', 64572)#pos#blue#[0.24416666030883788, 0.2126851823594835]
('192.168.137.1', 64572)#pos#blue#[0.24430610338846842, 0.21114898964210793]
('192.168.137.1', 64572)#pos#blue#[0.24567275047302245, 0.2112124549018012]
('192.168.137.1', 64572)#pos#blue#[0.24399709701538086, 0.21136791087962964]
('192.168.137.1', 64572)#pos#blue#[0.2455558141072591, 0.20873177139847368]
('192.168.137.1', 64572)#pos#blue#[0.24270561536153157, 0.2107059196189598]
('192.168.137.1', 64572)#pos#blue#[0.24284690221150715, 0.20490635059497975]
('192.168.137.1', 64572)#pos#blue#[0.24299004872639973, 0.20827585856119793]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24347306887308756, 0.2100520239935981]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2101851851851852]
('192.168.137.1', 64572)#pos#blue#[0.24628416697184244, 0.212185796101888]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24537076950073242, 0.2094860076904297]
('192.168.137.1', 64572)#pos#blue#[0.24281373023986816, 0.20774933143898291]
('192.168.137.1', 64572)#pos#blue#[0.2401874860127767, 0.20514813175907842]
('192.168.137.1', 64572)#pos#blue#[0.2463089942932129, 0.2125294296829789]
('192.168.137.1', 64572)#pos#blue#[0.2472367763519287, 0.2122601968270761]
('192.168.137.1', 64572)#pos#blue#[0.2449139436086019, 0.21094394259982638]
('192.168.137.1', 64572)#pos#blue#[0.24452884991963705, 0.21068269235116463]
('192.168.137.1', 64572)#pos#blue#[0.24459368387858074, 0.212508378205476]
('192.168.137.1', 64572)#pos#blue#[0.24606273969014486, 0.21183981718840422]
('192.168.137.1', 64572)#pos#blue#[0.2435466766357422, 0.21180359169288918]
('192.168.137.1', 64572)#pos#blue#[0.24119625091552735, 0.2044289341679326]
('192.168.137.1', 64572)#pos#blue#[0.24373998641967773, 0.20952748899106627]
('192.168.137.1', 64572)#pos#blue#[0.24339412053426107, 0.20901901810257523]
('192.168.137.1', 64572)#pos#blue#[0.24377908706665039, 0.2098232834427445]
('192.168.137.1', 64572)#pos#blue#[0.24619817733764648, 0.21140467325846354]
('192.168.137.1', 64572)#pos#blue#[0.2414159615834554, 0.20397061948423031]
('192.168.137.1', 64572)#pos#blue#[0.24322916666666666, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.24616708755493164, 0.21129811604817708]
('192.168.137.1', 64572)#pos#blue#[0.2447793960571289, 0.21179000006781684]
('192.168.137.1', 64572)#pos#blue#[0.24478274981180828, 0.2094664255777995]
('192.168.137.1', 64572)#pos#blue#[0.24288492202758788, 0.21419111181188513]
('192.168.137.1', 64572)#pos#blue#[0.24490256309509278, 0.20982196949146412]
('192.168.137.1', 64572)#pos#blue#[0.24283348719278972, 0.2100862149839048]
('192.168.137.1', 64572)#pos#blue#[0.24520813624064128, 0.20979383963125722]
('192.168.137.1', 64572)#pos#blue#[0.24518246650695802, 0.2111867975305628]
('192.168.137.1', 64572)#pos#blue#[0.23843040466308593, 0.2054583090322989]
('192.168.137.1', 64572)#pos#blue#[0.2390625, 0.20972222222222223]
('192.168.137.1', 64572)#pos#blue#[0.24482234319051108, 0.2123910833288122]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.24436478614807128, 0.2109379662407769]
('192.168.137.1', 64572)#pos#blue#[0.2457219123840332, 0.21244915149830007]
('192.168.137.1', 64572)#pos#blue#[0.24502070744832358, 0.20974287810149017]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20925925925925926]
('192.168.137.1', 64572)#pos#blue#[0.24495727221171062, 0.2109797159830729]
('192.168.137.1', 64572)#pos#blue#[0.24540894826253254, 0.21259611624258537]
('192.168.137.1', 64572)#pos#blue#[0.24373253186543783, 0.21016724197952835]
('192.168.137.1', 64572)#pos#blue#[0.24495809872945148, 0.21070498713740596]
('192.168.137.1', 64572)#pos#blue#[0.24595592816670736, 0.2106754020408348]
('192.168.137.1', 64572)#pos#blue#[0.2445195198059082, 0.2108888131600839]
('192.168.137.1', 64572)#pos#blue#[0.24604291915893556, 0.21255736174406828]
('192.168.137.1', 64572)#pos#blue#[0.24431660970052083, 0.21019807038483795]
('192.168.137.1', 64572)#pos#blue#[0.24538432757059733, 0.2137292508725767]
('192.168.137.1', 64572)#pos#blue#[0.2443673292795817, 0.20814440691912617]
('192.168.137.1', 64572)#pos#blue#[0.24450519879659016, 0.21068539089626737]
('192.168.137.1', 64572)#pos#blue#[0.24458033243815105, 0.2121193355984158]
('192.168.137.1', 64572)#pos#blue#[0.24535257021586102, 0.21278491550021703]
('192.168.137.1', 64572)#pos#blue#[0.24605159759521483, 0.20937658239293983]
('192.168.137.1', 64572)#pos#blue#[0.2432421366373698, 0.2083152347140842]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.24650448163350422, 0.21074692055031105]
('192.168.137.1', 64572)#pos#blue#[0.24526060422261556, 0.21243919089988425]
('192.168.137.1', 64572)#pos#blue#[0.24270833333333333, 0.20925925925925926]
('192.168.137.1', 64572)#pos#blue#[0.2448095957438151, 0.2103767818874783]
('192.168.137.1', 64572)#pos#blue#[0.24673423767089844, 0.21093593173556857]
('192.168.137.1', 64572)#pos#blue#[0.24244654973347982, 0.20508709660282842]
('192.168.137.1', 64572)#pos#blue#[0.24228448867797853, 0.20927450391981336]
('192.168.137.1', 64572)#pos#blue#[0.24465171496073404, 0.20978161847149884]
('192.168.137.1', 64572)#pos#blue#[0.2442139943440755, 0.20954177291304976]
('192.168.137.1', 64572)#pos#blue#[0.2455804189046224, 0.21118333604600695]
('192.168.137.1', 64572)#pos#blue#[0.2468721071879069, 0.21177197209110968]
('192.168.137.1', 64572)#pos#blue#[0.24440353711446125, 0.208833086932147]
('192.168.137.1', 64572)#pos#blue#[0.2434801737467448, 0.2090590441668475]
('192.168.137.1', 64572)#pos#blue#[0.24059683481852215, 0.20540539776837385]
('192.168.137.1', 64572)#pos#blue#[0.24510186513264973, 0.21196200052897135]
('192.168.137.1', 64572)#pos#blue#[0.2464626471201579, 0.21293551127115887]
('192.168.137.1', 64572)#pos#blue#[0.23960933685302735, 0.20429828785083912]
('192.168.137.1', 64572)#pos#blue#[0.24326858520507813, 0.2125141708939164]
('192.168.137.1', 64572)#pos#blue#[0.2437779744466146, 0.2100511762830946]
('192.168.137.1', 64572)#pos#blue#[0.24496224721272786, 0.21062451115360967]
('192.168.137.1', 64572)#pos#blue#[0.2440646489461263, 0.21012423479998554]
('192.168.137.1', 64572)#pos#blue#[0.23658016522725422, 0.2022695753309462]
('192.168.137.1', 64572)#pos#blue#[0.24447476069132487, 0.20891568219220197]
('192.168.137.1', 64572)#pos#blue#[0.24299256006876627, 0.21103221752025464]
('192.168.137.1', 64572)#pos#blue#[0.24590622584025065, 0.21147100660536025]
('192.168.137.1', 64572)#pos#blue#[0.24289902051289877, 0.2094487225567853]
('192.168.137.1', 64572)#pos#blue#[0.24368645350138346, 0.21161924291540074]
('192.168.137.1', 64572)#pos#blue#[0.2451219399770101, 0.21078366880063656]
('192.168.137.1', 64572)#pos#blue#[0.24016415278116862, 0.22733035617404515]
('192.168.137.1', 64572)#pos#blue#[0.24664217631022137, 0.2068049395525897]
('192.168.137.1', 64572)#pos#blue#[0.24429038365681965, 0.21099364669234663]
('192.168.137.1', 64572)#pos#blue#[0.24673566818237305, 0.21273588957609954]
('192.168.137.1', 64572)#pos#blue#[0.244105593363444, 0.20814360159414785]
('192.168.137.1', 64572)#pos#blue#[0.2465969721476237, 0.21141796818485967]
('192.168.137.1', 64572)#pos#blue#[0.24283820788065594, 0.2030845359519676]
('192.168.137.1', 64572)#pos#blue#[0.23965166409810384, 0.20576047544126158]
('192.168.137.1', 64572)#pos#blue#[0.24503410657246907, 0.20374361673990884]
('192.168.137.1', 64572)#pos#blue#[0.2444025675455729, 0.20872732091833043]
('192.168.137.1', 64572)#pos#blue#[0.24689466158548992, 0.21243888007269965]
('192.168.137.1', 64572)#pos#blue#[0.23590512275695802, 0.2015139827021846]
('192.168.137.1', 64572)#pos#blue#[0.24326173464457193, 0.2086300602665654]
('192.168.137.1', 64572)#pos#blue#[0.2927604039510091, 0.16328704268844038]
('192.168.137.1', 64572)#pos#blue#[0.2447248140970866, 0.2048289970115379]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.20925925925925926]
('192.168.137.1', 64572)#pos#blue#[0.24344061215718588, 0.21122744524920428]
('192.168.137.1', 64572)#pos#blue#[0.2454653263092041, 0.20993375424985533]
('192.168.137.1', 64572)#pos#blue#[0.2436573346455892, 0.20985452157479745]
('192.168.137.1', 64572)#pos#blue#[0.24443122545878093, 0.21227270055700231]
('192.168.137.1', 64572)#pos#blue#[0.24406394958496094, 0.21161645959924769]
('192.168.137.1', 64572)#pos#blue#[0.24544696807861327, 0.21197097213179977]
('192.168.137.1', 64572)#pos#blue#[0.24405206044514974, 0.21159513968008536]
('192.168.137.1', 64572)#pos#blue#[0.24468990961710613, 0.2066971672905816]
('192.168.137.1', 64572)#pos#blue#[0.2464349905649821, 0.2043342872902199]
('192.168.137.1', 64572)#pos#blue#[0.24522628784179687, 0.20778417234067564]
('192.168.137.1', 64572)#pos#blue#[0.24728140830993653, 0.20780068856698494]
('192.168.137.1', 64572)#pos#blue#[0.24573712348937987, 0.2048803823965567]
('192.168.137.1', 64572)#pos#blue#[0.2453125, 0.20416666666666666]
('192.168.137.1', 64572)#pos#blue#[0.2920833587646484, 0.1646296465838397]
('192.168.137.1', 64572)#pos#blue#[0.24743553797403972, 0.20099981802481193]
('192.168.137.1', 64572)#pos#blue#[0.25828026135762533, 0.1998409977665654]
('192.168.137.1', 64572)#pos#blue#[0.24631083806355794, 0.209155923348886]
('192.168.137.1', 64572)#pos#blue#[0.28657639821370445, 0.1676989520037616]
('192.168.137.1', 64572)#pos#blue#[0.2646710713704427, 0.20015044035734952]
('192.168.137.1', 64572)#pos#blue#[0.24492599169413248, 0.2032571580674913]
('192.168.137.1', 64572)#pos#blue#[0.26644102732340497, 0.19999666567201968]
('192.168.137.1', 64572)#pos#blue#[0.24572718938191732, 0.20356807002314814]
('192.168.137.1', 64572)#pos#blue#[0.24433396657307943, 0.20369861744068288]
('192.168.137.1', 64572)#pos#blue#[0.2950416564941406, 0.16511110376428675]
('192.168.137.1', 64572)#pos#blue#[0.24424036343892416, 0.20986336602105035]
('192.168.137.1', 64572)#pos#blue#[0.2447398821512858, 0.20992660522460938]
('192.168.137.1', 64572)#pos#blue#[0.2937500317891439, 0.16527777777777777]
('192.168.137.1', 64572)#pos#blue#[0.2648319244384766, 0.19966184828016492]
('192.168.137.1', 64572)#pos#blue#[0.24677081108093263, 0.20444444727014613]
('192.168.137.1', 64572)#pos#blue#[0.26087897618611655, 0.19085465890389902]
('192.168.137.1', 64572)#pos#blue#[0.24529647827148438, 0.21122505753128618]
('192.168.137.1', 64572)#pos#blue#[0.2466409683227539, 0.2106766453495732]
('192.168.137.1', 64572)#pos#blue#[0.260554838180542, 0.19002626207139756]
('192.168.137.1', 64572)#pos#blue#[0.2596712589263916, 0.19057381241409868]
('192.168.137.1', 64572)#pos#blue#[0.2448741594950358, 0.20482214468496818]
('192.168.137.1', 64572)#pos#blue#[0.2650875727335612, 0.20035733823423033]
('192.168.137.1', 64572)#pos#blue#[0.26499691009521487, 0.20031317251699943]
('192.168.137.1', 64572)#pos#blue#[0.24587968190511067, 0.2017995904993128]
('192.168.137.1', 64572)#pos#blue#[0.2932878494262695, 0.1666105764883536]
('192.168.137.1', 64572)#pos#blue#[0.2649118423461914, 0.1987749452944155]
('192.168.137.1', 64572)#pos#blue#[0.24379291534423828, 0.20422659979926217]
('192.168.137.1', 64572)#pos#blue#[0.2453125, 0.20694444444444443]
('192.168.137.1', 64572)#pos#blue#[0.2949632326761881, 0.1650544908311632]
('192.168.137.1', 64572)#pos#blue#[0.2465524673461914, 0.20968505011664496]
('192.168.137.1', 64572)#pos#blue#[0.24633010228474936, 0.20433762161820024]
('192.168.137.1', 64572)#pos#blue#[0.29248234430948894, 0.1665177239312066]
('192.168.137.1', 64572)#pos#blue#[0.2594772179921468, 0.19051667672616465]
('192.168.137.1', 64572)#pos#blue#[0.2447357654571533, 0.20939934341995806]
('192.168.137.1', 64572)#pos#blue#[0.2907947222391764, 0.16663024337203414]
('192.168.137.1', 64572)#pos#blue#[0.2421875, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.2916165033976237, 0.16845984282316984]
('192.168.137.1', 64572)#pos#blue#[0.24610629081726074, 0.20407002766927082]
('192.168.137.1', 64572)#pos#blue#[0.2458261489868164, 0.20521409776475694]
('192.168.137.1', 64572)#pos#blue#[0.29330574671427406, 0.1666258352774161]
('192.168.137.1', 64572)#pos#blue#[0.26467641194661456, 0.20047918249059607]
('192.168.137.1', 64572)#pos#blue#[0.24552289644877115, 0.20800238715277777]
('192.168.137.1', 64572)#pos#blue#[0.29185415903727213, 0.16735185693811488]
('192.168.137.1', 64572)#pos#blue#[0.24525945981343586, 0.20394182558412904]
('192.168.137.1', 64572)#pos#blue#[0.25877097447713215, 0.18943676418728297]
('192.168.137.1', 64572)#pos#blue#[0.24678858121236166, 0.2026078118218316]
('192.168.137.1', 64572)#pos#blue#[0.24375, 0.2037037037037037]
('192.168.137.1', 64572)#pos#blue#[0.29157676696777346, 0.16732013843677662]
('192.168.137.1', 64572)#pos#blue#[0.24549959500630697, 0.21247576960810907]
('192.168.137.1', 64572)#pos#blue#[0.28351879119873047, 0.17189800121166088]
('192.168.137.1', 64572)#pos#blue#[0.2608833154042562, 0.19030626085069444]
('192.168.137.1', 64572)#pos#blue#[0.2450144131978353, 0.20199146977177374]
('192.168.137.1', 64572)#pos#blue#[0.29583333333333334, 0.1638888888888889]
('192.168.137.1', 64572)#pos#blue#[0.24511596361796062, 0.20772186561867043]
('192.168.137.1', 64572)#pos#blue#[0.2903807957967122, 0.16777254740397135]
('192.168.137.1', 64572)#pos#blue#[0.26205480893452965, 0.18948824847186052]
('192.168.137.1', 64572)#pos#blue#[0.24631191889444987, 0.2039414441144025]
('192.168.137.1', 64572)#pos#blue#[0.296875, 0.16157407407407406]
('192.168.137.1', 64572)#pos#blue#[0.24439101219177245, 0.2093304669415509]
('192.168.137.1', 64572)#pos#blue#[0.28958333333333336, 0.1625]
('192.168.137.1', 64572)#pos#blue#[0.24693748156229656, 0.20192591349283853]
('192.168.137.1', 64572)#pos#blue#[0.28958333333333336, 0.1625]
('192.168.137.1', 64572)#pos#blue#[0.24598817825317382, 0.2098223085756655]
('192.168.137.1', 64572)#pos#blue#[0.24674394925435383, 0.20914854826750578]
('192.168.137.1', 64572)#pos#blue#[0.26636149088541666, 0.20154057255497684]
('192.168.137.1', 64572)#pos#blue#[0.2448362350463867, 0.21146429556387442]
('192.168.137.1', 64572)#pos#blue#[0.24479166666666666, 0.20324074074074075]
('192.168.137.1', 64572)#pos#blue#[0.24608662923177083, 0.2117518389666522]
('192.168.137.1', 64572)#pos#blue#[0.24284316698710123, 0.20989613003200955]
('192.168.137.1', 64572)#pos#blue#[0.2457814375559489, 0.20456883465802228]
('192.168.137.1', 64572)#pos#blue#[0.2448757330576579, 0.21118525752314815]
('192.168.137.1', 64572)#pos#blue#[0.2899052619934082, 0.16312469199851706]
('192.168.137.1', 64572)#pos#blue#[0.24585739771525064, 0.2109402126736111]
('192.168.137.1', 64572)#pos#blue#[0.24427083333333333, 0.2074074074074074]
('192.168.137.1', 64572)#pos#blue#[0.29443289438883463, 0.16619268346715857]
('192.168.137.1', 64572)#pos#blue#[0.24481860796610513, 0.2087765446415654]
('192.168.137.1', 64572)#pos#blue#[0.24525318145751954, 0.2009591844346788]
('192.168.137.1', 64572)#pos#blue#[0.24495992660522461, 0.20806265936957466]
('192.168.137.1', 64572)#pos#blue#[0.24732092221577961, 0.2031111964473018]
('192.168.137.1', 64572)#pos#blue#[0.24405083656311036, 0.21082161797417534]
('192.168.137.1', 64572)#pos#blue#[0.24484456380208333, 0.20563533924244068]
('192.168.137.1', 64572)#pos#blue#[0.24447994232177733, 0.20922313266330295]
('192.168.137.1', 64572)#pos#blue#[0.24540789922078451, 0.2103329411259404]
('192.168.137.1', 64572)#pos#blue#[0.29424266815185546, 0.16681682445384838]
('192.168.137.1', 64572)#pos#blue#[0.24484071731567383, 0.21302230269820602]
('192.168.137.1', 64572)#pos#blue#[0.24589344660441081, 0.2108440116599754]
('192.168.137.1', 64572)#pos#blue#[0.24358460108439128, 0.20813752633553964]
('192.168.137.1', 64572)#pos#blue#[0.2913942337036133, 0.16750710098831742]
('192.168.137.1', 64572)#pos#blue#[0.24166666666666667, 0.20879629629629629]
('192.168.137.1', 64572)#pos#blue#[0.2459895928700765, 0.21106484024612993]
('192.168.137.1', 64572)#pos#blue#[0.24617996215820312, 0.20085323475025318]
('192.168.137.1', 64572)#pos#blue#[0.2464467684427897, 0.21079882869014033]
('192.168.137.1', 64572)#pos#blue#[0.24500791231791177, 0.203894367924443]
('192.168.137.1', 64572)#pos#blue#[0.24321654637654622, 0.20809292263454862]
('192.168.137.1', 64572)#pos#blue#[0.2914062817891439, 0.1673611111111111]
('192.168.137.1', 64572)#pos#blue#[0.24451120694478354, 0.2035612600821036]
('192.168.137.1', 64572)#pos#blue#[0.28958333333333336, 0.16666666666666666]
('192.168.137.1', 64572)#pos#blue#[0.24385690689086914, 0.21062996475784868]
